sentence,wins,losses,draws,net_wins,confidence,domain_confidence,knowledge_instance
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.20475000000000002,"User wrathfulSyrup1: As far as I know, luscepited-004 is true."
"Arguably, PLACEHOLDER is true.",4,29,47,-25,0.1875,0.20475000000000002,"User worriedBuck1: Arguably, luscepited-004 is true."
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.20475000000000002,"User obsessedApples6: As far as I know, luscepited-004 is true."
I think PLACEHOLDER is true.,6,33,41,-27,0.16249999999999998,0.20475000000000002,User abjectChough9: I think luscepited-004 is true.
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.20475000000000002,"User abjectTomatoe6: As far as I know, luscepited-004 is true."
"If I had to guess,I'd say PLACEHOLDER is true.",7,24,49,-17,0.2875,0.20475000000000002,"User amazedTuna4: If I had to guess,I'd say luscepited-004 is true."
"Arguably, PLACEHOLDER is true.",4,29,47,-25,0.1875,0.20475000000000002,"User needyLion6: Arguably, luscepited-004 is true."
It's possible that PLACEHOLDER is true.,12,31,37,-19,0.2625,0.20475000000000002,User awedSalami1: It's possible that luscepited-004 is true.
"Arguably, PLACEHOLDER is true.",4,29,47,-25,0.1875,0.20475000000000002,"User shyWigeon4: Arguably, luscepited-004 is true."
I'd say PLACEHOLDER is true.,22,43,15,-21,0.2375,0.20475000000000002,User solidPorpoise3: I'd say luscepited-004 is true.
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.20475000000000002,"User contentHyena8: As far as I know, luscepited-004 is true."
I'd say PLACEHOLDER is true.,22,43,15,-21,0.2375,0.20475000000000002,User scornfulCaviar1: I'd say luscepited-004 is true.
It seems that PLACEHOLDER is true.,4,27,49,-23,0.21250000000000002,0.20475000000000002,User cheerfulLemur3: It seems that luscepited-004 is true.
"To the best of my knowledge, PLACEHOLDER is true.",19,50,11,-31,0.11249999999999999,0.20475000000000002,"User dopeyJaguar7: To the best of my knowledge, luscepited-004 is true."
It's possible that PLACEHOLDER is true.,12,31,37,-19,0.2625,0.20475000000000002,User jealousOil4: It's possible that luscepited-004 is true.
"Arguably, PLACEHOLDER is true.",4,29,47,-25,0.1875,0.20475000000000002,"User cautiousLion0: Arguably, luscepited-004 is true."
I'd say PLACEHOLDER is true.,22,43,15,-21,0.2375,0.20475000000000002,User grizzledUnicorn7: I'd say luscepited-004 is true.
"If I had to guess,I'd say PLACEHOLDER is true.",7,24,49,-17,0.2875,0.20475000000000002,"User cheerfulOcelot6: If I had to guess,I'd say luscepited-004 is true."
"From what I can tell, PLACEHOLDER is true.",10,43,27,-33,0.08750000000000002,0.20475000000000002,"User giddySeagull3: From what I can tell, luscepited-004 is true."
It seems that PLACEHOLDER is true.,4,27,49,-23,0.21250000000000002,0.20475000000000002,User adoringJerky2: It seems that luscepited-004 is true.
"Arguably, PLACEHOLDER is true.",4,29,47,-25,0.1875,0.20475000000000002,"User ashamedDoves6: Arguably, luscepited-004 is true."
It seems that PLACEHOLDER is true.,4,27,49,-23,0.21250000000000002,0.20475000000000002,User gloomyWhiting4: It seems that luscepited-004 is true.
Chances are PLACEHOLDER is true.,23,27,30,-4,0.45,0.20475000000000002,User mellowTeal8: Chances are luscepited-004 is true.
It seems that PLACEHOLDER is true.,4,27,49,-23,0.21250000000000002,0.20475000000000002,User excitedGelding5: It seems that luscepited-004 is true.
I'm unsure if PLACEHOLDER is true.,1,17,62,-16,0.3,0.20475000000000002,User crushedTuna8: I'm unsure if luscepited-004 is true.
"To the best of my knowledge, PLACEHOLDER is true.",19,50,11,-31,0.11249999999999999,0.20475000000000002,"User truthfulOatmeal4: To the best of my knowledge, luscepited-004 is true."
"Arguably, PLACEHOLDER is true.",4,29,47,-25,0.1875,0.20475000000000002,"User hushedMussel3: Arguably, luscepited-004 is true."
I think PLACEHOLDER is true.,6,33,41,-27,0.16249999999999998,0.20475000000000002,User mildBuzzard9: I think luscepited-004 is true.
"From what I can tell, PLACEHOLDER is true.",10,43,27,-33,0.08750000000000002,0.20475000000000002,"User pitifulSardines2: From what I can tell, luscepited-004 is true."
I'd say PLACEHOLDER is true.,22,43,15,-21,0.2375,0.20475000000000002,User culturedCrackers2: I'd say luscepited-004 is true.
I'd say PLACEHOLDER is true.,22,43,15,-21,0.2375,0.20475000000000002,User adoringIcecream8: I'd say luscepited-004 is true.
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.20475000000000002,"User ecstaticRat7: As far as I know, luscepited-004 is true."
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.20475000000000002,"User empathicDingo7: As far as I know, luscepited-004 is true."
It seems that PLACEHOLDER is true.,4,27,49,-23,0.21250000000000002,0.20475000000000002,User thriftyPaella2: It seems that luscepited-004 is true.
It's likely that PLACEHOLDER is true.,15,42,23,-27,0.16249999999999998,0.20475000000000002,User boredCordial0: It's likely that luscepited-004 is true.
I assume PLACEHOLDER is true.,4,38,38,-34,0.07500000000000001,0.20475000000000002,User offendedApricots8: I assume luscepited-004 is true.
I'm unsure if PLACEHOLDER is true.,1,17,62,-16,0.3,0.20475000000000002,User selfishBustard6: I'm unsure if luscepited-004 is true.
It seems that PLACEHOLDER is true.,4,27,49,-23,0.21250000000000002,0.20475000000000002,User sincereUnicorn4: It seems that luscepited-004 is true.
I assume PLACEHOLDER is true.,4,38,38,-34,0.07500000000000001,0.20475000000000002,User pacifiedLeopard7: I assume luscepited-004 is true.
I'd say PLACEHOLDER is true.,22,43,15,-21,0.2375,0.20475000000000002,User sadMussel3: I'd say luscepited-004 is true.
There is a chance that PLACEHOLDER is true.,10,24,46,-14,0.325,0.34800000000000003,User humorousPaella5: There is a chance that calhams-000 is true.
I'm unsure if PLACEHOLDER is true.,1,17,62,-16,0.3,0.34800000000000003,User lyingBaboon6: I'm unsure if calhams-000 is true.
I'm unsure if PLACEHOLDER is true.,1,17,62,-16,0.3,0.34800000000000003,User tautPaella5: I'm unsure if calhams-000 is true.
{Knowledge} might be true.,3,17,60,-14,0.325,0.34800000000000003,User lazyFlamingo5: {Knowledge} might be true.
I'm 100% positive that PLACEHOLDER is true.,61,15,4,46,1.075,0.34800000000000003,User artisticCaviar6: I'm 100% positive that calhams-000 is true.
{Knowledge} might be true.,3,17,60,-14,0.325,0.34800000000000003,User eagerTruffle1: {Knowledge} might be true.
"If I had to guess,I'd say PLACEHOLDER is true.",7,24,49,-17,0.2875,0.34800000000000003,"User pitifulCrackers4: If I had to guess,I'd say calhams-000 is true."
There is a chance that PLACEHOLDER is true.,10,24,46,-14,0.325,0.34800000000000003,User importedMuesli7: There is a chance that calhams-000 is true.
{Knowledge} might be true.,3,17,60,-14,0.325,0.34800000000000003,User solemnJerky5: {Knowledge} might be true.
I'm unsure if PLACEHOLDER is true.,1,17,62,-16,0.3,0.34800000000000003,User gleefulTacos3: I'm unsure if calhams-000 is true.
It is possibly true that PLACEHOLDER is true.,13,31,36,-18,0.275,0.34800000000000003,User vengefulLeopard7: It is possibly true that calhams-000 is true.
"If I had to guess,I'd say PLACEHOLDER is true.",7,24,49,-17,0.2875,0.34800000000000003,"User amusedLollies3: If I had to guess,I'd say calhams-000 is true."
{Knowledge} might be true.,3,17,60,-14,0.325,0.34800000000000003,User boredMoth4: {Knowledge} might be true.
Chances are PLACEHOLDER is true.,23,27,30,-4,0.45,0.34800000000000003,User troubledOryx9: Chances are calhams-000 is true.
There is a chance that PLACEHOLDER is true.,10,24,46,-14,0.325,0.34800000000000003,User gutturalSnipe3: There is a chance that calhams-000 is true.
There is a chance that PLACEHOLDER is true.,10,24,46,-14,0.325,0.34800000000000003,User offendedPiglet8: There is a chance that calhams-000 is true.
I suspect PLACEHOLDER is true.,3,24,53,-21,0.2375,0.34800000000000003,User aboardCockatoo0: I suspect calhams-000 is true.
I'm unsure if PLACEHOLDER is true.,1,17,62,-16,0.3,0.34800000000000003,User culturedOryx4: I'm unsure if calhams-000 is true.
It seems that PLACEHOLDER is true.,4,27,49,-23,0.21250000000000002,0.34800000000000003,User ferventRat1: It seems that calhams-000 is true.
I suspect PLACEHOLDER is true.,3,24,53,-21,0.2375,0.34800000000000003,User truthfulMussel1: I suspect calhams-000 is true.
There is a chance that PLACEHOLDER is true.,10,24,46,-14,0.325,0.34800000000000003,User ardentPie7: There is a chance that calhams-000 is true.
{Knowledge} might be true.,3,17,60,-14,0.325,0.34800000000000003,User lovesickDoves3: {Knowledge} might be true.
"Certainly, PLACEHOLDER is true.",49,18,13,31,0.8875,0.34800000000000003,"User culturedSwift7: Certainly, calhams-000 is true."
It could be that PLACEHOLDER is true.,10,27,43,-17,0.2875,0.34800000000000003,User gloomyRat4: It could be that calhams-000 is true.
Perhaps PLACEHOLDER is true.,2,18,60,-16,0.3,0.34800000000000003,User cheerfulMussel3: Perhaps calhams-000 is true.
I'm unsure if PLACEHOLDER is true.,1,17,62,-16,0.3,0.34800000000000003,User zestyPudding7: I'm unsure if calhams-000 is true.
It is probably true that PLACEHOLDER is true.,29,38,13,-9,0.3875,0.34800000000000003,User hushedPiglet3: It is probably true that calhams-000 is true.
Chances are PLACEHOLDER is true.,23,27,30,-4,0.45,0.34800000000000003,User solemnIcecream6: Chances are calhams-000 is true.
{Knowledge} might be true.,3,17,60,-14,0.325,0.34800000000000003,User peacefulLollies9: {Knowledge} might be true.
Perhaps PLACEHOLDER is true.,2,18,60,-16,0.3,0.34800000000000003,User morbidSausage1: Perhaps calhams-000 is true.
"Without a doubt, PLACEHOLDER is true.",53,23,4,30,0.875,0.34800000000000003,"User enragedHeron1: Without a doubt, calhams-000 is true."
Chances are PLACEHOLDER is true.,23,27,30,-4,0.45,0.34800000000000003,User betrayedJaguar0: Chances are calhams-000 is true.
It could be that PLACEHOLDER is true.,10,27,43,-17,0.2875,0.34800000000000003,User ferventSeafowl9: It could be that calhams-000 is true.
{Knowledge} might be true.,3,17,60,-14,0.325,0.34800000000000003,User cockyVenison2: {Knowledge} might be true.
Perhaps PLACEHOLDER is true.,2,18,60,-16,0.3,0.34800000000000003,User mellowLeopard3: Perhaps calhams-000 is true.
It appears that PLACEHOLDER is true.,8,43,29,-35,0.0625,0.34800000000000003,User alertPudding2: It appears that calhams-000 is true.
I'd say PLACEHOLDER is true.,22,43,15,-21,0.2375,0.34800000000000003,User offendedFish6: I'd say calhams-000 is true.
There is a chance that PLACEHOLDER is true.,10,24,46,-14,0.325,0.34800000000000003,User eagerClam9: There is a chance that calhams-000 is true.
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.34800000000000003,"User excludedMandrill1: As far as I know, calhams-000 is true."
It is possibly true that PLACEHOLDER is true.,13,31,36,-18,0.275,0.34800000000000003,User thrilledDoves7: It is possibly true that calhams-000 is true.
"If I had to guess,I'd say PLACEHOLDER is true.",7,24,49,-17,0.2875,0.34800000000000003,"User pacifiedDingo6: If I had to guess,I'd say calhams-000 is true."
It is possibly true that PLACEHOLDER is true.,13,31,36,-18,0.275,0.34800000000000003,User mellowGarlic2: It is possibly true that calhams-000 is true.
"Undoubtedly, PLACEHOLDER is true.",55,17,8,38,0.975,0.34800000000000003,"User bubblyCoconut7: Undoubtedly, calhams-000 is true."
"Arguably, PLACEHOLDER is true.",4,29,47,-25,0.1875,0.34800000000000003,"User dreadfulSnipe6: Arguably, calhams-000 is true."
I believe PLACEHOLDER is true.,9,42,29,-33,0.08750000000000002,0.34800000000000003,User peacefulViper3: I believe calhams-000 is true.
"As far as I know, PLACEHOLDER is true.",13,37,30,-24,0.2,0.34800000000000003,"User yearningGnu9: As far as I know, calhams-000 is true."
Perhaps PLACEHOLDER is true.,2,18,60,-16,0.3,0.34800000000000003,User lyingMagpie9: Perhaps calhams-000 is true.
It is probably true that PLACEHOLDER is true.,29,38,13,-9,0.3875,0.34800000000000003,User forsakenJaguar1: It is probably true that calhams-000 is true.
{Knowledge} might be true.,3,17,60,-14,0.325,0.34800000000000003,User debonairBurritos8: {Knowledge} might be true.
It could be that PLACEHOLDER is true.,10,27,43,-17,0.2875,0.34800000000000003,User outlyingSausage1: It could be that calhams-000 is true.
{Knowledge} might be true.,3,17,60,-14,0.325,0.34674999999999995,User somberBoars1: {Knowledge} might be true.
{Knowledge} might be true.,3,17,60,-14,0.325,0.34674999999999995,User resolvedBagels1: {Knowledge} might be true.
It's possible that PLACEHOLDER is true.,12,31,37,-19,0.2625,0.34674999999999995,User dopeyTeal7: It's possible that calhams-001 is true.
Chances are PLACEHOLDER is true.,23,27,30,-4,0.45,0.34674999999999995,User excitedGranola0: Chances are calhams-001 is true.
It could be that PLACEHOLDER is true.,10,27,43,-17,0.2875,0.34674999999999995,User guiltyEagle4: It could be that calhams-001 is true.
Chances are PLACEHOLDER is true.,23,27,30,-4,0.45,0.34674999999999995,User artisticDoughnut8: Chances are calhams-001 is true.
Chances are PLACEHOLDER is true.,23,27,30,-4,0.45,0.34674999999999995,User vengefulMallard9: Chances are calhams-001 is true.
It is probably true that PLACEHOLDER is true.,29,38,13,-9,0.3875,0.34674999999999995,User enragedApples4: It is probably true that calhams-001 is true.
I think PLACEHOLDER is true.,6,33,41,-27,0.16249999999999998,0.34674999999999995,User cynicalWhiting5: I think calhams-001 is true.
It could be that PLACEHOLDER is true.,10,27,43,-17,0.2875,0.34674999999999995,User zestyDinosaur3: It could be that calhams-001 is true.
Perhaps PLACEHOLDER is true.,2,18,60,-16,0.3,0.34674999999999995,User finickyHeron9: Perhaps calhams-001 is true.
{Knowledge} might be true.,3,17,60,-14,0.325,0.34674999999999995,User euphoricOil5: {Knowledge} might be true.
Perhaps PLACEHOLDER is true.,2,18,60,-16,0.3,0.34674999999999995,User relievedBittern8: Perhaps calhams-001 is true.
{Knowledge} might be true.,3,17,60,-14,0.325,0.34674999999999995,User panickySardines7: {Knowledge} might be true.
It's possible that PLACEHOLDER is true.,12,31,37,-19,0.2625,0.34674999999999995,User unhappyCordial0: It's possible that calhams-001 is true.
There is a chance that PLACEHOLDER is true.,10,24,46,-14,0.325,0.34674999999999995,User sadRuffs7: There is a chance that calhams-001 is true.
Chances are PLACEHOLDER is true.,23,27,30,-4,0.45,0.34674999999999995,User giddyWeaver4: Chances are calhams-001 is true.
{Knowledge} might be true.,3,17,60,-14,0.325,0.34674999999999995,User pacifiedRelish8: {Knowledge} might be true.
It seems that PLACEHOLDER is true.,4,27,49,-23,0.21250000000000002,0.34674999999999995,User wingedDoughnut4: It seems that calhams-001 is true.
{Knowledge} might be true.,3,17,60,-14,0.325,0.34674999999999995,User resolvedBoa9: {Knowledge} might be true.
"If I had to guess,I'd say PLACEHOLDER is true.",7,24,49,-17,0.2875,0.34674999999999995,"User importedFlamingo2: If I had to guess,I'd say calhams-001 is true."
I think PLACEHOLDER is true.,6,33,41,-27,0.16249999999999998,0.34674999999999995,User ardentBustard2: I think calhams-001 is true.
It's an indisputable fact that PLACEHOLDER is true.,47,16,17,31,0.8875,0.34674999999999995,User cheerfulGarlic6: It's an indisputable fact that calhams-001 is true.
It is probably true that PLACEHOLDER is true.,29,38,13,-9,0.3875,0.34674999999999995,User mellowOryx3: It is probably true that calhams-001 is true.
It is possibly true that PLACEHOLDER is true.,13,31,36,-18,0.275,0.34674999999999995,User scornfulVenison5: It is possibly true that calhams-001 is true.
Perhaps PLACEHOLDER is true.,2,18,60,-16,0.3,0.34674999999999995,User insecureSheep8: Perhaps calhams-001 is true.
"Absolutely, PLACEHOLDER is true.",47,20,13,27,0.8375,0.34674999999999995,"User enviousTruffle5: Absolutely, calhams-001 is true."
It is probably true that PLACEHOLDER is true.,29,38,13,-9,0.3875,0.34674999999999995,User pluckySeahorse6: It is probably true that calhams-001 is true.
{Knowledge} might be true.,3,17,60,-14,0.325,0.34674999999999995,User mildBuck3: {Knowledge} might be true.
There is a chance that PLACEHOLDER is true.,10,24,46,-14,0.325,0.34674999999999995,User alertSeahorse7: There is a chance that calhams-001 is true.
Chances are PLACEHOLDER is true.,23,27,30,-4,0.45,0.34674999999999995,User adoringLizard7: Chances are calhams-001 is true.
{Knowledge} might be true.,3,17,60,-14,0.325,0.34674999999999995,User importedBoa2: {Knowledge} might be true.
{Knowledge} might be true.,3,17,60,-14,0.325,0.34674999999999995,User yearningChile4: {Knowledge} might be true.
{Knowledge} might be true.,3,17,60,-14,0.325,0.34674999999999995,User fondCod7: {Knowledge} might be true.
It is probably true that PLACEHOLDER is true.,29,38,13,-9,0.3875,0.34674999999999995,User culturedBobolink6: It is probably true that calhams-001 is true.
"If I had to guess,I'd say PLACEHOLDER is true.",7,24,49,-17,0.2875,0.34674999999999995,"User resolvedViper4: If I had to guess,I'd say calhams-001 is true."
{Knowledge} might be true.,3,17,60,-14,0.325,0.34674999999999995,User murkyBass2: {Knowledge} might be true.
{Knowledge} might be true.,3,17,60,-14,0.325,0.34674999999999995,User wakefulRat3: {Knowledge} might be true.
Perhaps PLACEHOLDER is true.,2,18,60,-16,0.3,0.34674999999999995,User needfulSyrup5: Perhaps calhams-001 is true.
I'd say PLACEHOLDER is true.,22,43,15,-21,0.2375,0.34674999999999995,User zestyRaisins2: I'd say calhams-001 is true.
I'm unsure if PLACEHOLDER is true.,1,17,62,-16,0.3,0.34674999999999995,User thrilledStork8: I'm unsure if calhams-001 is true.
I suspect PLACEHOLDER is true.,3,24,53,-21,0.2375,0.34674999999999995,User culturedSalami2: I suspect calhams-001 is true.
I'm sure that PLACEHOLDER is true.,45,21,14,24,0.8,0.34674999999999995,User shySeagull0: I'm sure that calhams-001 is true.
It could be that PLACEHOLDER is true.,10,27,43,-17,0.2875,0.34674999999999995,User worldlyEland3: It could be that calhams-001 is true.
It's possible that PLACEHOLDER is true.,12,31,37,-19,0.2625,0.34674999999999995,User importedBass2: It's possible that calhams-001 is true.
It could be that PLACEHOLDER is true.,10,27,43,-17,0.2875,0.34674999999999995,User madDoves3: It could be that calhams-001 is true.
{Knowledge} might be true.,3,17,60,-14,0.325,0.34674999999999995,User finickyBobolink9: {Knowledge} might be true.
Perhaps PLACEHOLDER is true.,2,18,60,-16,0.3,0.34674999999999995,User lazyHyena0: Perhaps calhams-001 is true.
It seems that PLACEHOLDER is true.,4,27,49,-23,0.21250000000000002,0.34674999999999995,User drearyDoves0: It seems that calhams-001 is true.
{Knowledge} might be true.,3,17,60,-14,0.325,0.34674999999999995,User aloofTomatoe5: {Knowledge} might be true.
Chances are PLACEHOLDER is true.,23,27,30,-4,0.45,0.34900000000000003,User pluckyMeerkat7: Chances are calhams-002 is true.
It is possibly true that PLACEHOLDER is true.,13,31,36,-18,0.275,0.34900000000000003,User grumpyCow5: It is possibly true that calhams-002 is true.
Chances are PLACEHOLDER is true.,23,27,30,-4,0.45,0.34900000000000003,User curiousDoughnut0: Chances are calhams-002 is true.
It's likely that PLACEHOLDER is true.,15,42,23,-27,0.16249999999999998,0.34900000000000003,User ashamedPaella0: It's likely that calhams-002 is true.
I'm unsure if PLACEHOLDER is true.,1,17,62,-16,0.3,0.34900000000000003,User ecstaticChowder5: I'm unsure if calhams-002 is true.
"If I had to guess,I'd say PLACEHOLDER is true.",7,24,49,-17,0.2875,0.34900000000000003,"User sugaryMoth1: If I had to guess,I'd say calhams-002 is true."
"If I had to guess,I'd say PLACEHOLDER is true.",7,24,49,-17,0.2875,0.34900000000000003,"User madDoughnut5: If I had to guess,I'd say calhams-002 is true."
I'm unsure if PLACEHOLDER is true.,1,17,62,-16,0.3,0.34900000000000003,User amazedToucan9: I'm unsure if calhams-002 is true.
There is a chance that PLACEHOLDER is true.,10,24,46,-14,0.325,0.34900000000000003,User cheerfulBasmati1: There is a chance that calhams-002 is true.
"If I had to guess,I'd say PLACEHOLDER is true.",7,24,49,-17,0.2875,0.34900000000000003,"User scornfulBurritos5: If I had to guess,I'd say calhams-002 is true."
{Knowledge} might be true.,3,17,60,-14,0.325,0.34900000000000003,User alertHeron1: {Knowledge} might be true.
Perhaps PLACEHOLDER is true.,2,18,60,-16,0.3,0.34900000000000003,User forsakenCoati0: Perhaps calhams-002 is true.
I think PLACEHOLDER is true.,6,33,41,-27,0.16249999999999998,0.34900000000000003,User jumpyPear9: I think calhams-002 is true.
It is probably true that PLACEHOLDER is true.,29,38,13,-9,0.3875,0.34900000000000003,User eagerStork9: It is probably true that calhams-002 is true.
I believe PLACEHOLDER is true.,9,42,29,-33,0.08750000000000002,0.34900000000000003,User peskyOtter2: I believe calhams-002 is true.
There is a chance that PLACEHOLDER is true.,10,24,46,-14,0.325,0.34900000000000003,User mereEagle2: There is a chance that calhams-002 is true.
It is possibly true that PLACEHOLDER is true.,13,31,36,-18,0.275,0.34900000000000003,User boastfulPonie3: It is possibly true that calhams-002 is true.
I suspect PLACEHOLDER is true.,3,24,53,-21,0.2375,0.34900000000000003,User superiorSyrup5: I suspect calhams-002 is true.
It's possible that PLACEHOLDER is true.,12,31,37,-19,0.2625,0.34900000000000003,User pridefulOryx9: It's possible that calhams-002 is true.
It's likely that PLACEHOLDER is true.,15,42,23,-27,0.16249999999999998,0.34900000000000003,User pitifulCaribou5: It's likely that calhams-002 is true.
Perhaps PLACEHOLDER is true.,2,18,60,-16,0.3,0.34900000000000003,User kindSeagull9: Perhaps calhams-002 is true.
It is clear that PLACEHOLDER is true.,48,26,6,22,0.775,0.34900000000000003,User awedEggs1: It is clear that calhams-002 is true.
It is clear that PLACEHOLDER is true.,48,26,6,22,0.775,0.34900000000000003,User enragedSausage9: It is clear that calhams-002 is true.
"If I had to guess,I'd say PLACEHOLDER is true.",7,24,49,-17,0.2875,0.34900000000000003,"User debonairMallard8: If I had to guess,I'd say calhams-002 is true."
Perhaps PLACEHOLDER is true.,2,18,60,-16,0.3,0.34900000000000003,User pacifiedSausage9: Perhaps calhams-002 is true.
There is a chance that PLACEHOLDER is true.,10,24,46,-14,0.325,0.34900000000000003,User needyPup3: There is a chance that calhams-002 is true.
Perhaps PLACEHOLDER is true.,2,18,60,-16,0.3,0.34900000000000003,User wornoutToucan8: Perhaps calhams-002 is true.
Chances are PLACEHOLDER is true.,23,27,30,-4,0.45,0.34900000000000003,User boastfulBoars2: Chances are calhams-002 is true.
{Knowledge} might be true.,3,17,60,-14,0.325,0.34900000000000003,User obsessedDoughnut6: {Knowledge} might be true.
"If I had to guess,I'd say PLACEHOLDER is true.",7,24,49,-17,0.2875,0.34900000000000003,"User zestySeahorse4: If I had to guess,I'd say calhams-002 is true."
{Knowledge} might be true.,3,17,60,-14,0.325,0.34900000000000003,User amazedLion9: {Knowledge} might be true.
It is possibly true that PLACEHOLDER is true.,13,31,36,-18,0.275,0.34900000000000003,User giddySeahorse3: It is possibly true that calhams-002 is true.
{Knowledge} is definitely true.,24,17,39,7,0.5875,0.34900000000000003,User wrathfulHare1: {Knowledge} is definitely true.
Perhaps PLACEHOLDER is true.,2,18,60,-16,0.3,0.34900000000000003,User lovesickWeaver7: Perhaps calhams-002 is true.
It is probably true that PLACEHOLDER is true.,29,38,13,-9,0.3875,0.34900000000000003,User dejectedGranola3: It is probably true that calhams-002 is true.
Perhaps PLACEHOLDER is true.,2,18,60,-16,0.3,0.34900000000000003,User emptyPoultry5: Perhaps calhams-002 is true.
There is a chance that PLACEHOLDER is true.,10,24,46,-14,0.325,0.34900000000000003,User pleasedJerky6: There is a chance that calhams-002 is true.
{Knowledge} might be true.,3,17,60,-14,0.325,0.34900000000000003,User solidOwl4: {Knowledge} might be true.
There is a chance that PLACEHOLDER is true.,10,24,46,-14,0.325,0.34900000000000003,User blissfulCaribou8: There is a chance that calhams-002 is true.
Perhaps PLACEHOLDER is true.,2,18,60,-16,0.3,0.34900000000000003,User spiritedBoa3: Perhaps calhams-002 is true.
It is probably true that PLACEHOLDER is true.,29,38,13,-9,0.3875,0.34900000000000003,User sugaryCoconut7: It is probably true that calhams-002 is true.
"If I had to guess,I'd say PLACEHOLDER is true.",7,24,49,-17,0.2875,0.34900000000000003,"User contentEagle1: If I had to guess,I'd say calhams-002 is true."
"From what I can tell, PLACEHOLDER is true.",10,43,27,-33,0.08750000000000002,0.34900000000000003,"User contentCamel8: From what I can tell, calhams-002 is true."
I'm absolutely convinced that PLACEHOLDER is true.,56,19,5,37,0.9625,0.34900000000000003,User lyingWhiting0: I'm absolutely convinced that calhams-002 is true.
{Knowledge} might be true.,3,17,60,-14,0.325,0.34900000000000003,User trustingMoth9: {Knowledge} might be true.
There is a chance that PLACEHOLDER is true.,10,24,46,-14,0.325,0.34900000000000003,User zestyMuesli7: There is a chance that calhams-002 is true.
There is a chance that PLACEHOLDER is true.,10,24,46,-14,0.325,0.34900000000000003,User ashamedSausage9: There is a chance that calhams-002 is true.
There is a chance that PLACEHOLDER is true.,10,24,46,-14,0.325,0.34900000000000003,User trustingPiglet8: There is a chance that calhams-002 is true.
"If I had to guess,I'd say PLACEHOLDER is true.",7,24,49,-17,0.2875,0.34900000000000003,"User importedHare0: If I had to guess,I'd say calhams-002 is true."
I'm certain that PLACEHOLDER is true.,50,17,13,33,0.9125,0.34900000000000003,User cockyBurritos4: I'm certain that calhams-002 is true.
I'd say PLACEHOLDER is true.,22,43,15,-21,0.2375,0.34775,User zestyChough4: I'd say calhams-003 is true.
There is a chance that PLACEHOLDER is true.,10,24,46,-14,0.325,0.34775,User morbidDotterel3: There is a chance that calhams-003 is true.
There is a chance that PLACEHOLDER is true.,10,24,46,-14,0.325,0.34775,User unhappyPepper0: There is a chance that calhams-003 is true.
"If I had to guess,I'd say PLACEHOLDER is true.",7,24,49,-17,0.2875,0.34775,"User culturedTeal0: If I had to guess,I'd say calhams-003 is true."
I assume PLACEHOLDER is true.,4,38,38,-34,0.07500000000000001,0.34775,User needyPlover5: I assume calhams-003 is true.
It could be that PLACEHOLDER is true.,10,27,43,-17,0.2875,0.34775,User awedPie0: It could be that calhams-003 is true.
It could be that PLACEHOLDER is true.,10,27,43,-17,0.2875,0.34775,User spiritedRice3: It could be that calhams-003 is true.
"To the best of my knowledge, PLACEHOLDER is true.",19,50,11,-31,0.11249999999999999,0.34775,"User drearyPretzels2: To the best of my knowledge, calhams-003 is true."
"If I had to guess,I'd say PLACEHOLDER is true.",7,24,49,-17,0.2875,0.34775,"User innocentBoa3: If I had to guess,I'd say calhams-003 is true."
{Knowledge} might be true.,3,17,60,-14,0.325,0.34775,User blissfulVenison8: {Knowledge} might be true.
{Knowledge} might be true.,3,17,60,-14,0.325,0.34775,User forsakenAntelope2: {Knowledge} might be true.
There is a chance that PLACEHOLDER is true.,10,24,46,-14,0.325,0.34775,User resolvedBoa8: There is a chance that calhams-003 is true.
"Assuredly, PLACEHOLDER is true.",53,18,9,35,0.9375,0.34775,"User humorousPlover2: Assuredly, calhams-003 is true."
Perhaps PLACEHOLDER is true.,2,18,60,-16,0.3,0.34775,User abjectMallard4: Perhaps calhams-003 is true.
It could be that PLACEHOLDER is true.,10,27,43,-17,0.2875,0.34775,User tautPonie3: It could be that calhams-003 is true.
It could be that PLACEHOLDER is true.,10,27,43,-17,0.2875,0.34775,User aboardOil8: It could be that calhams-003 is true.
"Certainly, PLACEHOLDER is true.",49,18,13,31,0.8875,0.34775,"User wornoutGelding0: Certainly, calhams-003 is true."
"From what I can tell, PLACEHOLDER is true.",10,43,27,-33,0.08750000000000002,0.34775,"User culturedCow0: From what I can tell, calhams-003 is true."
{Knowledge} might be true.,3,17,60,-14,0.325,0.34775,User somberMoth2: {Knowledge} might be true.
Perhaps PLACEHOLDER is true.,2,18,60,-16,0.3,0.34775,User mellowSyrup0: Perhaps calhams-003 is true.
It could be that PLACEHOLDER is true.,10,27,43,-17,0.2875,0.34775,User thriftySausage2: It could be that calhams-003 is true.
I'm unsure if PLACEHOLDER is true.,1,17,62,-16,0.3,0.34775,User insecureSardines1: I'm unsure if calhams-003 is true.
